competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness,num_thread_blocks,num_threads_per_block
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,121105070,117173711,769632,3158512,1,512,512
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,120897090,116947195,764960,3181998,1,512,1024
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,120909410,116988116,767552,3150812,1,1024,64
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,121085186,117154927,765952,3161466,1,1024,128
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,120968635,117044537,772384,3149032,1,1024,256
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,121113093,117192871,764640,3152156,1,1024,512
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,120926347,116997939,774816,3150958,1,1024,1024
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,121170145,117244934,766496,3155322,1,2048,64
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,121057273,117134327,766112,3154253,1,2048,128
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,120995917,117074045,766848,3151934,1,2048,256
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,121007649,117073424,768928,3162749,1,2048,512
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,121125604,117201399,768704,3152895,1,2048,1024
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,8384134,3918849,1445888,3015407,1,128,64
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,8611793,3826984,1835008,2946329,1,128,128
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,9749438,3781830,3035136,2929034,1,128,256
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,12524237,3775164,5818368,2927534,1,128,512
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,18412213,3780505,11615232,3013388,1,128,1024
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,8148482,3769148,1440768,2935111,1,256,64
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,8548556,3771512,1835008,2938745,1,256,128
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,9742988,3784429,3026944,2929504,1,256,256
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,12539985,3787870,5817344,2931568,1,256,512
