competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness
GPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,644294135,173773130,416775968,53685226,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,644495940,173879089,416837184,53719823,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,960288606,200031485,681264768,78914408,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,961175124,199468463,681792960,79835156,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,962477521,201815348,681695744,78889490,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,960934773,200189293,681812416,78854692,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,959719412,199747232,681006912,78888014,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,962112882,199890224,682149632,79994388,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,960717998,200198331,681543488,78897090,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,959633427,200164493,680572992,78818268,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,959668964,200006626,680705664,78878895,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,959956339,199900284,681142720,78834915,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,961527059,200113989,681345920,79988521,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,960222501,200152421,681037760,78953433,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,960654671,200076242,681633792,78865924,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,959252802,199709212,680590912,78873719,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,959995030,200105202,680931904,78879175,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,959760949,199783675,681141376,78757355,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,959822735,199977902,680914880,78851703,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,960507120,200105035,681290624,79031810,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,960220012,199998225,681179904,78963938,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,959169630,199486427,680752832,78851784,1
GPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,13489166101,455040283,12667808768,366369255,1
GPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,13237755183,272453987,12601170944,364180028,1
GPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,13241554858,272066318,12605221888,364316096,1
GPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,13237117405,271392933,12601803776,363969503,1
GPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,13241211182,272289252,12605097984,363872248,1
GPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,13237018024,271743199,12601285632,364037418,1
GPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,13241138337,272119222,12604627968,364437311,1
GPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,13236841164,271661824,12601144320,364081752,1
GPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,13240491210,272041630,12604479488,364016888,1
GPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,13243745692,272121101,12601256960,370413519,1
GPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,13240770221,272206583,12604198912,364411015,1
GPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,13237573727,272321130,12601385984,363911179,1
GPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,13240651635,271833848,12604936192,363926501,1
GPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,13237863288,272476795,12601565184,363867066,1
GPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,13241682982,272273154,12605170688,364284104,1
GPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,13237011660,271602682,12601226240,364227905,1
GPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,13240328073,272329734,12603941888,364102411,1
GPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,13236770929,272191140,12600582144,364041893,1
GPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,13239341271,271757069,12603573248,364058178,1
